primeval,petrified
called,known
showed,show
swallowing,swallow
constrictors,constrictor
takes,goes
adventures,adventure
managed,manage
coloured,colored
looked,looking
masterpiece,painting
grownups,grown-ups
asked,ask
answered,answer
digesting,skittish
drew,drawing
explained,understood
advised,advise
drawings,paintings
abandoned,abandon
discouraged,discourage
themselves,them
airplanes,planes
served,serving
persons,person
lived,living
hasnt,infrequently
improved,improve
met,meet
seemed,seem
sighted,spotted
tried,trying
showing,seen
ve,nope
responded,respond
forests,forest
talked,talking
neckties,necktie
grownup,grown-ups
passengers,passenger
readied,prepare
repairs,repair
habitation,prehistoric
shipwrecked,sailors
daybreak,dawn
woke,asleep
jumped,fell
struck,hit
rubbed,rubbing
examining,examine
its,their
t,shirt
stared,staring
inhabited,inhabit
repeated,repeat
remembered,remember
mainly,mostly
studied,studying
nt,dollars
replied,yes
redrew,oodles
astounded,horrified
cumbersome,tedious
smiled,smiling
indulgently,indulgent
redid,redo
ones,few
dismantling,destruction
hastily,prepared
sketched,outline
snapped,streak
needs,need
leaned,leaning
revealed,reveal
cried,crying
modestly,modest
peal,bells
misfortunes,misfortune
abruptly,suddenly
didn,nope
shook,shaking
whilst,while
drifted,slipped
lasted,ended
sank,vessel
contemplation,meditation
aroused,arouse
disclosure,disclose
re,election
ll,rapper
don,joe
gravely,seriously
doesn,nope
names,name
hundreds,millions
spotting,spotted
astronomer,physicist
discovers,mysterious
these,are
gives,give
325,approximately
612,million
1909,circa
turkish,turkey
believed,believe
fortunately,nobody
imposed,impose
1920,august
stylishly,stylish
butterflies,insects
geraniums,scented
doves,dove
wouldn,gosh
minds,mind
franc,dollar
existed,exist
laughed,laughing
wants,want
proves,prove
those,all
liked,loved
lightly,sprinkle
recounting,anecdote
paints,paint
pencils,pencil
attempted,attempt
portraits,portrait
lifelike,believable
subjects,subject
colour,color
explanations,explanation
unfortunately,indeed
wandered,wandering
baobabs,nylons
seized,seize
isn,nope
follows,follow
churches,church
baobab,fig
piled,pile
remarked,reviewer
wisely,carefully
secretly,secret
decides,decide
elongates,pliable
grows,grow
timidly,timid
harmless,useless
sprig,thyme
likes,like
recognised,recognize
infested,infestation
pierces,pierced
grooming,shaving
groomed,wed
suggested,suggest
postponing,postpone
leads,lead
neglected,forgotten
moralist,intolerant
risks,risk
skirting,meander
worked,working
aren,ow
couldn,nope
spurred,surge
urgency,necessity
gradually,slowly
softness,weakness
sunsets,gorgeous
chuckled,chuckle
knows,know
suffice,presume
eats,eaten
finds,find
unscrew,fasten
exclaimed,yeah
creatures,creature
frightful,horrifying
interrupted,interrupt
matters,issues
dumbfounded,aghast
relentlessly,relentless
curls,ponytail
red-faced,backstabber
smelled,smell
sums,sum
repeats,repeat
makes,make
realising,realize
blushed,blush
continued,continuing
loves,everybody
specimen,fossil
exists,exist
comforted,comforting
rocked,shaken
muzzle,velocity
i.,joseph
wasn,bugger
decorated,decoration
faded,fade
sprouted,sprout
sprouts,broccoli
began,beginning
witnessed,saw
miraculous,miracle
preparing,prepare
chose,choose
colours,colors
arranged,arrange
rumpled,wrinkled
poppies,poppy
radiance,radiant
flirtatious,playful
having,had
woken,awaken
presentable,palatable
sweetly,wistful
guessed,guess
abashed,aghast
sprinkling,sprinkle
tended,tend
begun,begin
tigers,tiger
objected,opposed
drafts,draft
detests,despise
worlds,world
humiliated,embarrassed
coughed,gobble
inflict,harm
shouldn,mortified
listened,listen
perfumed,scented
confidences,betray
judged,be
deeds,deed
contrivances,trite
swept,sweep
volcanoes,volcano
owned,bought
cleaned,cleaning
steadily,rapidly
eruptions,eruption
volcanic,volcano
fires,fire
pulled,pull
shoots,shoot
watered,proposal
reproaches,alot
stood,standing
bewildered,perplexed
mid,late
anymore,nobody
caterpillars,insects
acquainted,infatuated
seems,seem
naively,naive
decided,decide
asteroids,planets
ermine,robe
ah,boo
recognise,recognize
didnt,presume
simplified,complicated
remained,remain
yawned,inattentive
cant,presume
thoroughly,completely
havent,alot
slept,sleeping
yawning,chasm
yawns,yawn
frightens,frighten
sputtered,listless
vexed,touchy
fundamentally,flawed
insisted,saying
disobedience,protest
orders,order
seabird,pelican
enquired,inquire
majestically,towering
gathered,gather
mantle,yogi
astonished,horrified
sire,stallion
hastened,downfall
pointing,pointed
instantly,suddenly
insubordination,incompetence
seventy,forty
